Date,Open,High,Low,Close,Adj Close,Volume
1996-05-28,27.3125,27.34375,26.96875,27.0625,17.386917,6894000
1996-05-29,26.9375,27.09375,26.40625,26.71875,17.166061,13044000
1996-05-30,26.71875,26.90625,26.53125,26.8125,17.226292,10471200
1996-05-31,26.90625,27.0625,26.65625,26.6875,17.145986999999998,9004800
1996-06-03,26.59375,26.625,26.25,26.34375,16.925129000000002,6958000
1996-06-04,26.34375,26.65625,26.34375,26.46875,17.005444,7952000
1996-06-05,26.5,26.59375,26.1875,26.21875,16.844818,7151600
1996-06-06,26.21875,26.21875,25.25,25.3125,16.262583,23910800
1996-06-07,24.125,25.5,24.03125,25.4375,16.342894,29511200
1996-06-10,25.5,25.8125,25.34375,25.65625,16.483425,12062000
1996-06-11,25.8125,26.09375,25.59375,25.78125,16.563745,10794800
1996-06-12,25.90625,25.96875,25.6875,25.75,16.543658999999998,8544400
1996-06-13,25.75,26.03125,25.4375,25.8125,16.583814999999998,8532000
1996-06-14,25.84375,26.0625,25.40625,25.40625,16.322819,10849200
1996-06-17,25.46875,25.6875,25.21875,25.625,16.46336,7633600
1996-06-18,25.5,25.625,25.3125,25.3125,16.262583,7657600
1996-06-19,25.4375,25.65625,25.375,25.53125,16.403118,5718000
1996-06-20,25.5625,25.5625,24.84375,25.1875,16.182276,16558400
1996-06-21,25.1875,25.4375,24.5625,24.65625,15.84096,16896400
1996-06-24,24.90625,25.03125,24.625,24.90625,16.001575,9883200
1996-06-25,24.84375,24.9375,24.71875,24.9375,16.021658,8885200
1996-06-26,24.9375,25.03125,24.625,24.65625,15.84096,10174800
1996-06-27,24.59375,24.90625,24.40625,24.71875,15.881116,13294800
1996-06-28,24.78125,24.96875,24.71875,24.75,15.901195999999999,9376400
1996-07-01,24.8125,25.5625,24.78125,25.375,16.302732000000002,9710000
1996-07-02,25.25,25.3125,24.96875,25.0,16.06181,8096400
1996-07-03,24.9375,25.03125,24.53125,24.625,15.820881,9724000
1996-07-05,24.46875,24.8125,24.4375,24.46875,15.720492000000002,6669600
1996-07-08,24.53125,24.8125,24.53125,24.59375,15.800810999999998,7375600
1996-07-09,24.6875,25.0625,24.6875,24.75,15.901195999999999,7920800
1996-07-10,24.6875,24.875,24.4375,24.71875,15.881116,11404800
1996-07-11,24.40625,24.40625,23.53125,24.0,15.419335,23328800
1996-07-12,23.90625,24.0,23.65625,23.828125,15.308916,12897200
1996-07-15,23.625,23.71875,22.4375,22.71875,14.596167000000001,16318400
1996-07-16,23.0625,23.9375,22.4375,23.9375,15.379182,24828400
1996-07-17,24.46875,24.46875,23.5,23.53125,15.118179000000001,15158000
1996-07-18,23.5625,23.90625,23.28125,23.5625,15.138259,10685600
1996-07-19,23.625,23.8125,23.375,23.4375,15.057946,8460400
1996-07-22,23.34375,23.34375,22.96875,23.125,14.857178,7123200
1996-07-23,23.125,23.3125,22.5,22.5625,14.495783,12460000
1996-07-24,22.40625,23.15625,22.28125,22.9375,14.736716,14734400
1996-07-25,24.0,25.9375,23.75,25.90625,16.644051,36059600
1996-07-26,25.78125,26.03125,25.40625,25.96875,16.684214,15961600
1996-07-29,25.875,26.375,25.84375,26.1875,16.824747,13352800
1996-07-30,26.3125,27.0,25.9375,26.84375,17.246372,15971200
1996-07-31,26.78125,27.21875,26.75,26.875,17.266453,14021200
1996-08-01,27.0,27.25,26.8125,26.8125,17.226292,12482400
1996-08-02,27.09375,27.34375,26.9375,27.21875,17.487297,9063200
1996-08-05,27.0,27.34375,27.0,27.3125,17.547523,8604400
1996-08-06,27.3125,27.53125,27.0625,27.40625,17.607758,14385600
1996-08-07,27.5,28.21875,27.4375,28.15625,18.323624,12268000
1996-08-08,27.90625,28.46875,27.875,28.375,18.465984,11762400
1996-08-09,28.25,28.4375,28.03125,28.09375,18.282944,6987600
1996-08-12,28.0,28.3125,27.90625,28.03125,18.24227,7727600
1996-08-13,27.90625,28.125,27.28125,27.34375,17.79487,11935200
1996-08-14,27.34375,27.875,27.34375,27.8125,18.099922,10326000
1996-08-15,27.90625,27.90625,27.6875,27.71875,18.038897,4626800
1996-08-16,27.75,27.8125,27.46875,27.5,17.896539999999998,6046800
1996-08-19,27.46875,27.59375,27.375,27.5,17.896539999999998,7054000
1996-08-20,27.53125,27.6875,27.5,27.625,17.977894,4538800
1996-08-21,27.625,28.1875,27.53125,28.0625,18.262605999999998,7064400
1996-08-22,28.1875,28.46875,28.09375,28.15625,18.323624,8249200
1996-08-23,28.03125,28.40625,28.0,28.25,18.384632,6173600
1996-08-26,28.25,28.28125,28.0625,28.125,18.303283999999998,3654800
1996-08-27,28.15625,28.1875,27.8125,27.9375,18.181267000000002,4819600
1996-08-28,28.5,28.9375,28.46875,28.75,18.710022,14829600
1996-08-29,28.78125,28.875,28.65625,28.78125,18.730354000000002,9182400
1996-08-30,28.65625,28.75,28.40625,28.59375,18.608337,6151600
1996-09-03,28.3125,28.84375,28.140625,28.8125,18.750706,8830400
1996-09-04,28.75,28.90625,28.625,28.65625,18.649017,5480800
1996-09-05,28.5,28.625,28.25,28.28125,18.404974,7194400
1996-09-06,28.375,28.96875,28.375,28.875,18.791368,9638000
1996-09-09,29.0,29.4375,28.96875,29.40625,19.137112,10269600
1996-09-10,29.40625,29.84375,29.125,29.53125,19.218436999999998,16051200
1996-09-11,29.1875,29.5625,29.1875,29.5,19.198116,8755200
1996-09-12,29.5,29.5625,29.28125,29.3125,19.076096,8674800
1996-09-13,29.53125,30.71875,29.53125,30.53125,19.869228,22036400
1996-09-16,30.53125,30.84375,30.4375,30.6875,19.970917,10653200
1996-09-17,30.75,30.90625,30.375,30.90625,20.113279000000002,13198400
1996-09-18,31.09375,31.3125,30.75,31.125,20.255632000000002,14094000
1996-09-19,31.0625,31.28125,30.75,30.875,20.092939,8213200
1996-09-20,30.90625,31.21875,30.71875,30.75,20.011595,12242000
1996-09-23,30.5625,31.1875,30.53125,31.0625,20.214956,6765600
1996-09-24,31.0625,31.71875,31.0,31.03125,20.194626,14984000
1996-09-25,31.125,31.71875,31.125,31.625,20.581028,10773600
1996-09-26,31.5625,31.96875,31.03125,31.09375,20.235292,12704000
1996-09-27,31.1875,31.375,31.0,31.1875,20.296312,5248800
1996-09-30,31.21875,31.78125,31.03125,31.125,20.255632000000002,7457600
1996-10-01,31.0,31.3125,30.78125,30.9375,20.133617,9786000
1996-10-02,31.0625,31.46875,31.0,31.46875,20.479347,8052800
1996-10-03,31.4375,31.5625,31.15625,31.25,20.336983,7380400
1996-10-04,31.46875,31.78125,31.40625,31.65625,20.601366,9209200
1996-10-07,31.71875,32.0,31.71875,31.96875,20.804731,7341600
1996-10-08,32.0,32.375,31.90625,32.09375,20.886082000000002,12589600
1996-10-09,32.25,32.34375,31.53125,31.5625,20.540344,9609600
1996-10-10,31.375,32.0,31.375,31.9375,20.784392999999998,8994000
1996-10-11,32.125,32.53125,32.0625,32.46875,21.130125,11433200
1996-10-14,32.46875,32.5,32.28125,32.5,21.150463000000002,5603600
1996-10-15,32.6875,32.8125,32.15625,32.375,21.069117000000002,11455600
1996-10-16,32.375,32.375,31.84375,31.90625,20.764057,7502800
1996-10-17,32.1875,32.28125,31.3125,31.40625,20.438671,8541600
1996-10-18,31.375,32.375,31.0,32.34375,21.048776999999998,13894800
1996-10-21,32.0,33.84375,31.6875,32.53125,21.170801,33337200
1996-10-22,32.40625,32.6875,31.5625,31.75,20.662373000000002,11997200
1996-10-23,31.625,32.46875,31.53125,32.3125,21.02844,12034000
1996-10-24,32.375,32.4375,31.84375,31.84375,20.723379,7174000
1996-10-25,31.59375,32.0,31.59375,31.625,20.581028,6501600
1996-10-28,31.65625,32.03125,31.625,31.84375,20.723379,7390000
1996-10-29,31.875,31.9375,31.28125,31.40625,20.438671,10130000
1996-10-30,31.4375,31.875,31.4375,31.59375,20.560694,8330000
1996-10-31,31.625,32.28125,31.46875,32.25,20.987764000000002,8525200
1996-11-01,32.21875,32.40625,31.78125,31.875,20.743721,8269200
1996-11-04,31.84375,32.34375,31.84375,32.1875,20.94709,6109200
1996-11-05,32.4375,32.875,32.3125,32.5625,21.191137,11716400
1996-11-06,32.65625,33.46875,32.5625,33.34375,21.935333,11545600
1996-11-07,33.28125,33.78125,33.1875,33.4375,21.997004999999998,13926400
1996-11-08,33.34375,33.625,33.21875,33.59375,22.099802,6277600
1996-11-11,33.59375,33.71875,33.5,33.625,22.120358,5716800
1996-11-12,33.75,33.9375,33.25,33.3125,21.914776,10896400
1996-11-13,33.375,33.96875,33.3125,33.6875,22.161482,9569200
1996-11-14,33.65625,34.40625,33.65625,34.21875,22.510963,11098000
1996-11-15,34.40625,36.375,34.34375,36.25,23.847225,31215200
1996-11-18,36.1875,37.5,35.75,36.6875,24.135026999999997,23108400
1996-11-19,36.71875,38.71875,36.625,38.53125,25.34795,24118400
1996-11-20,38.34375,39.75,38.09375,38.15625,25.101263,32946800
1996-11-21,38.28125,38.71875,38.125,38.53125,25.34795,18604400
1996-11-22,38.53125,39.71875,38.53125,39.625,26.067476,16330000
1996-11-25,39.53125,39.625,39.03125,39.40625,25.923579999999998,11332000
1996-11-26,39.375,40.1875,39.25,39.5,25.985231,22061600
1996-11-27,39.5625,40.0625,39.4375,39.53125,26.005819,11198800
1996-11-29,39.53125,39.90625,39.53125,39.84375,26.211397,3725200
1996-12-02,39.90625,40.875,39.90625,40.75,26.807564000000003,13264000
1996-12-03,40.90625,41.5,40.65625,40.65625,26.745907,18711200
1996-12-04,40.71875,41.0,39.78125,40.5,26.643103000000004,17749200
1996-12-05,40.34375,40.65625,39.59375,39.625,26.067476,12145200
1996-12-06,38.5,39.5,38.34375,38.90625,25.594642999999998,24141600
1996-12-09,39.15625,40.03125,39.0625,40.0,26.314171,11079600
1996-12-10,40.375,40.46875,39.4375,39.4375,25.944132,12374000
1996-12-11,38.8125,39.65625,38.4375,39.03125,25.67688,23424400
1996-12-12,39.53125,39.625,37.875,37.90625,24.936789,14420400
1996-12-13,38.0625,38.71875,38.0,38.21875,25.142389,15562400
1996-12-16,38.25,38.3125,36.8125,37.15625,24.443405,14377600
1996-12-17,37.09375,38.40625,36.84375,37.96875,24.977909,16082400
1996-12-18,38.125,39.75,38.09375,39.65625,26.088037,14443200
1996-12-19,39.9375,39.9375,39.3125,39.53125,26.005819,13614000
1996-12-20,39.53125,39.59375,38.53125,38.65625,25.430183,16724800
1996-12-23,38.5,38.84375,38.1875,38.5625,25.368515,8732800
1996-12-24,38.53125,39.0,38.53125,38.9375,25.615211,2660000
1996-12-26,39.34375,39.59375,38.78125,38.9375,25.615211,4527200
1996-12-27,38.90625,38.90625,38.375,38.78125,25.512415,5049200
1996-12-30,38.8125,38.875,38.40625,38.40625,25.26572,4168000
1996-12-31,38.4375,38.84375,37.71875,37.875,24.916235,7049600
1997-01-02,38.4375,38.59375,37.5625,38.3125,25.204051999999997,16790000
1997-01-03,38.75,39.78125,38.71875,39.78125,26.170267000000003,12930400
1997-01-06,39.84375,40.84375,39.625,40.3125,26.519756,19244400
1997-01-07,40.21875,40.9375,39.84375,40.84375,26.869251000000002,10541200
1997-01-08,41.03125,41.0625,39.78125,39.96875,26.293619,11697600
1997-01-09,39.9375,40.5,39.59375,40.46875,26.622536,12626800
1997-01-10,40.125,41.0,40.03125,40.75,26.807564000000003,17500800
1997-01-13,40.75,41.5625,40.6875,40.96875,26.951477,15650800
1997-01-14,41.25,41.90625,41.125,41.753899,27.467990999999998,11786400
1997-01-15,41.59375,42.09375,40.84375,41.15625,27.074823,17712800
1997-01-16,41.1875,41.6875,40.8125,41.375,27.218739000000003,13896000
1997-01-17,41.28125,41.4375,40.96875,41.3125,27.177626,8868800
1997-01-20,41.21875,41.90625,41.125,41.75,27.465433,10706000
1997-01-21,41.59375,42.53125,41.59375,42.0,27.629889000000002,14993200
1997-01-22,39.75,40.0,38.75,39.5,25.985231,49184800
1997-01-23,39.71875,40.0625,37.65625,37.9375,24.957354000000002,33802400
1997-01-24,37.96875,38.5,37.25,37.625,24.75178,32776800
1997-01-27,37.84375,37.9375,36.25,36.4375,23.970572,23704400
1997-01-28,37.46875,38.5625,37.15625,37.6875,24.792891,32306000
1997-01-29,38.375,39.1875,38.09375,39.09375,25.718,18664400
1997-01-30,39.4375,39.5625,38.9375,39.3125,25.861904,18296000
1997-01-31,39.40625,39.46875,39.03125,39.21875,25.80022,11565600
1997-02-03,39.34375,39.34375,38.625,38.71875,25.47131,10599200
1997-02-04,38.6875,38.6875,37.6875,38.40625,25.26572,13544800
1997-02-05,38.40625,38.40625,36.375,37.1875,24.46397,22077600
1997-02-06,37.25,37.4375,36.375,36.5,24.239832,20778400
1997-02-07,37.125,37.5,36.46875,37.1875,24.696409,19807200
1997-02-10,37.1875,37.1875,35.5,35.6875,23.700236999999998,21562800
1997-02-11,35.84375,36.3125,35.28125,36.3125,24.115299,21540400
1997-02-12,36.0,36.65625,35.75,36.25,24.073801,18515200
1997-02-13,36.28125,37.03125,36.28125,36.59375,24.302078,15851600
1997-02-14,36.59375,36.9375,36.0,36.25,24.073801,13698800
1997-02-18,36.375,36.375,35.78125,36.3125,24.115299,10740800
1997-02-19,36.3125,36.46875,35.75,35.90625,23.845512,13449200
1997-02-20,35.78125,35.875,35.0625,35.3125,23.4512,14332000
1997-02-21,35.1875,35.21875,34.28125,34.40625,22.849354,25234000
1997-02-24,34.40625,36.0,34.375,35.96875,23.887017999999998,17130800
1997-02-25,36.09375,37.0,36.03125,36.625,24.322845,16793600
1997-02-26,36.75,36.875,36.0,36.71875,24.385099,14681600
1997-02-27,36.71875,36.71875,35.75,35.75,23.741751,7088800
1997-02-28,35.78125,36.4375,35.15625,35.9375,23.86627,12262400
1997-03-03,35.9375,36.6875,35.90625,36.28125,24.094555,13215600
1997-03-04,36.40625,36.6875,35.625,36.21875,24.053043,12252800
1997-03-05,36.46875,36.625,36.09375,36.375,24.156814999999998,8004800
1997-03-06,36.40625,37.25,36.15625,36.65625,24.343592,14781600
1997-03-07,36.8125,36.90625,36.03125,36.1875,24.032291,10627200
1997-03-10,36.1875,36.75,36.09375,36.53125,24.260579999999997,8171200
1997-03-11,36.59375,37.4375,36.5,36.5,24.239832,13422400
